PubID,StreetAddress,Area,TradingName,NumberOfPatrons,Xcoordinate,Ycoordinate
322,183-265 La Trobe Street,Melbourne (CBD),Partyworld Karaoke,500,144.9630189,-37.81073331
323,124 La Trobe Street,Melbourne (CBD),Pearson and Murph'y Cafe,156,144.9645504,-37.80818365
324,318-322 Little Bourke Street,Melbourne (CBD),Penny Blue,85,144.9631276,-37.81292437
325,10-22 Spencer Street,Melbourne (CBD),Pensione Hotel Melbourne,50,144.9552421,-37.82050677
326,414-422 Lygon Street,Carlton,Percys Bar & Bistro,120,144.9678126,-37.79694555
327,192-202 Lygon Street,Carlton,Players On Lygon,200,144.9670522,-37.80245924
328,594-600 Swanston Street,Carlton,Plough and Harrow Hotel,400,144.9639453,-37.80276989
329,29-65 South Wharf Promenade,Southbank,Plus 5,90,144.9503336,-37.82409303
330,590-592 Little Bourke Street,Melbourne (CBD),POD Nite Club ,700,144.9546987,-37.81533836
331,267 Little Collins Street,Melbourne (CBD),Polepole Bar,100,144.9656034,-37.81483458
332, Evan Walker Bridge,Southbank,Ponfish Island,150,144.9650858,-37.81968992
333,68-78 Hardware Lane,Melbourne (CBD),Pop,280,144.9611061,-37.8130703
334,115-127 Russell Street,Melbourne (CBD),Portland Hotel,414,144.9681892,-37.81367486
335,171-175 Elgin Street,Carlton,Pugg Mahones,500,144.9687079,-37.79750574
336,106-112 Hardware Street,Melbourne (CBD),Pugg Mahones Irish Bar,200,144.9606805,-37.81213605
337,172-192 Flinders Street,Melbourne (CBD),Purple Emerald,110,144.9685429,-37.81663851
338,131-141 Russell Street,Melbourne (CBD),QT Melbourne,185,144.967831,-37.81342885
339,54-60 Market Street,Melbourne (CBD),R2 Restaurant & Bar,370,144.9608283,-37.81778076
340,86-88 Collins Street,Melbourne (CBD),Ra,83,144.9705847,-37.81393777
341,483-501 Bourke Street,Melbourne (CBD),RACV City Club,410,144.9595925,-37.81587957
342,118-126 Ireland Street,West Melbourne (Residential),Railway Hotel,241,144.9421177,-37.80605366
343,206-218 Bourke Street,Melbourne (CBD),Rainbow Karaoke,400,144.9668768,-37.81259409
344,313-315 Flinders Lane,Melbourne (CBD),Randy Dragon,100,144.9638507,-37.81763918
345,184 Rathdowne Street,Carlton,Rathdowne Tavern ,140,144.9712295,-37.79476659
346,11 Collins Street,Melbourne (CBD),Recorded Music Salon,110,144.9734622,-37.81377997
347,401-405 Swanston Street,Melbourne (CBD),Red Love,200,144.963217,-37.80904283
348,401-405 Swanston Street,Melbourne (CBD),Red Love Cocktail Bar Musicroom,110,144.963217,-37.80904283
349,252-254 Flinders Lane,Melbourne (CBD),Red Rhythm,30,144.9655966,-37.8166033
350,231-233 Bourke Street,Melbourne (CBD),Red Violin,303,144.9668415,-37.81343614
351,75-79 Flemington Road,North Melbourne,Redback Brewery Hotel,670,144.9533473,-37.79895071
352,91-93 Flinders Lane,Melbourne (CBD),Returned & Services League - Melbourne Sub-branch,90,144.9712228,-37.81543506
353,5-17 Flemington Road,North Melbourne,RMIT Village Melbourne,356,144.9558713,-37.80140031
354,5-17 Flemington Road,North Melbourne,RMIT Village Old Melbourne,356,144.9558713,-37.80140031
355,183-265 La Trobe Street,Melbourne (CBD),Rockstar Bowling,760,144.9630189,-37.81073331
356,497-503 St Kilda Road,Melbourne (Remainder),Rok's Cafe,280,144.9790762,-37.84331737
357,54-62 Bourke Street,Melbourne (CBD),Romeo Lane,25,144.9713808,-37.81156933
358,167-175 Franklin Street,Melbourne (CBD),Roo Bar,200,144.9591538,-37.80895967
359,248-258 Swanston Street,Melbourne (CBD),Rooftop Bar ,200,144.9652504,-37.81199559
360,248-258 Swanston Street,Melbourne (CBD),Rooftop Bar & Cinema,200,144.9652504,-37.81199559
361,248-258 Swanston Street,Melbourne (CBD),Rooftop Cinema & Bar,200,144.9652504,-37.81199559
362,95-101 Flinders Lane,Melbourne (CBD),Rosati Restaurant,840,144.9711039,-37.81553247
363,152-158 Bourke Street,Melbourne (CBD),Roxanne Parlour,450,144.9685359,-37.81206119
364,399-405 Queensberry Street,North Melbourne,Royal Park Hotel/Pub,114,144.9543149,-37.80378609
365,375-385 St Kilda Road,Melbourne (Remainder),Royce Hotel,120,144.9755139,-37.83506751
366,375-385 St Kilda Road,Melbourne (Remainder),Royce On St Kilda Road,120,144.9755139,-37.83506751
367,7 Errol Street,North Melbourne,Rrose Cellar and Bar,60,144.9490127,-37.80479755
368,121-131 Collins Street,Melbourne (CBD),RU-CO,400,144.9698467,-37.81516811
369,319-323 Swanston Street,Melbourne (CBD),Rue Bebelons,100,144.9640475,-37.81076317
370,174-184 City Road,Southbank,Rumour Restaurant Bar & Lounge,100,144.9618918,-37.82382188
371,174-192 Exhibition Street,Melbourne (CBD),Rydges Melbourne Hotel,100,144.9706454,-37.81121462
372,301-303 Swanston Street,Melbourne (CBD),Sahara Restaurant,140,144.9641938,-37.81107765
373,582-584 Little Collins Street,Melbourne (CBD),Saint & Rogue,300,144.9553525,-37.81740928
374,3 Southgate Avenue,Southbank,Saturne,100,144.9662623,-37.82066923
375,113 Lonsdale Street,Melbourne (CBD),Seamstress,160,144.9690111,-37.81056538
376,113 Lonsdale Street,Melbourne (CBD),Seamstress Pty Ltd,160,144.9690111,-37.81056538
377,317-323 Flinders Lane,Melbourne (CBD),Sebel Melbourne - Flinders Lane,60,144.9637238,-37.81771479
378,27-29 Tattersalls Lane,Melbourne (CBD),Section 8 Bar,100,144.9653899,-37.81176167
